idkuiz,topik,jumsoalan,idguru,idsoalan,idkuiz,nosoalan,soalan,pilihan1,pilihan2,pilihan3,pilihan4,jawapan
1303046,SET 2 (EKOSISTEM),15,2,,1303046,1,Apakah sumber tenaga utama di dalam ekosistem?,A. Matahari,B. Tumbuhan,C. Bahan api,D. Air,A
,,,,,1303046,2,Apakah maksud rantai makanan?,A. Tahap hidupan dalam ekosistem.,B. Hubungan pemakanan antara organisma hidup dalam suatu habitat.,C. Pengelasan organisma hidup kepada beberapa kumpulan.,D. Hubungan antara haiwan dari segi ciri-ciri sepunya.,B
,,,,,1303046,3,Apakah tenaga utama yang dipindahkan antara hidupan dalam rantai makanan?,A. Tenaga haba,B. Tenaga kimia,C. Tenaga elastik,D. Tenaga keupayaan,B
,,,,,1303046,4,Antara yang berikut yang manakah terlibat dalam rantai makanan? ,A. Penghapus,B. Pengguna utama,C. Pengguna primer,D. Pengguna terakhir,C
,,,,,1303046,5,"Antara yang berikut, yang manakah merupakan pengeluar? ",A. Rumput,B. Tikus,C. Belalang,D. Ulat,A
,,,,,1303046,6,Apakah maksud saprofitisme?,"A. Memberi manfaat kepada satu sahaja organisma, dan membawa negatif kepada organisma yang kedua",B. Memberi manfaat kepada kedua-dua organisma.,C. Hubungan di mana organisma mendapat makanan daripada organisma yang mati.,D. Hubungan antara haiwan dan tumbuhan.,C
,,,,,1303046,7,Apakah maksud siratan makanan?,A. Gabungan daripada beberapa rantai makanan,B. Hieraki hubungan antara haiwan sahaja.,C. Sejenis piramid yang menunjukkan populasi organisma pada setiap aras.,D. Aliran makanan antara organisma.,A
,,,,,1303046,8,Kitaran nutrien ialah kitran unsur-unsur kimia bukan organik seperti:,"A. Metana, air, oksigen","B. Nitrogen, hidrogen dan solar","C. Air, karbon dioksida dan oksigen",D. Bahan api fosil,C
,,,,,1303046,9,Proses manakah yang TIDAK terlibat dalam kitar air?,A. Respirasi,B. Penguraian,C. Transpirasi,D. Fotosintesis,B
,,,,,1303046,10,Kulat dan bakteria menggunakan ____ dan membebaskan ____ semasa menguraikan organisma mati dan mereput.,A. karbon dioksida… oksigen,B. nitrogen… hidrogen,C. oksigen… air,D. oksigen… karbon dioksida,D
,,,,,1303046,11,Apakah tujuan pembenihan awan?,A. Menanam tumbuhan pada awan.,B. Membuat jerebu.,C. Menghasilkan hujan buatan.,D. Mengurangkan kadar penghasilan awan secara semula jadi.,C
,,,,,1303046,12,Langkah manakah yang terbaik untuk mengatasi masalah gangguan kepada kitar nutrien?,A. Kempen,B. Pendidikan,C. Media sosial,D. Penguatkuasaan undang-undang,D
,,,,,1303046,13,Nyatakan maksud habitat dengan tepat.,A. Persekitaran atau tempat tinggal semula jadi bagi sesuatu organisma.,B. Tempat tinggal bagi haiwan.,C. Kawasan khas untuk hidupan liar.,D. Hanya terdiri daripada tumbuh-tumbuhan dalam suatu tempat.,A
,,,,,1303046,14,Padankan penyesuaian hidupan terhadap alam sekitar yang tepat.,"A. Di gurun, akar tumbuhan adalah pendek untuk menyerap air.","B. Di tundra, haiwan mempunyai lemak dan bulu yang tebal.","C. Di kawasan tropika, ketinggian pokok tidak melebihi 1 meter.",D. Haiwan yang mempunyai bonggol paling banyak hidup di kawasan tundra.,B
,,,,,1303046,15,Apakah yang dimaksudkan dengan kawalan biologi?,A. Mengenal pasti ciri-ciri biologi dalam hidupan.,B. Mengawal populasi hidupan tertentu melalui penggunaan peralatan moden di sesuatu kawasan.,C. Mengawal tahap hidupan di suatu kawasan yang terpencil.,D. Kaedah menggunakan organisma semula jadi untuk mengawal populasi perosak di sesuatu kawasan.,D
